Age,Gender,Education Level,Job Title,Years of Experience,Salary
22,Male,High School,Junior Sales Associate,1,25000
29,Female,High School,Junior Sales Associate,1,25000
29,Female,High School,Junior Sales Associate,1,25000
29,Female,High School,Junior Sales Associate,1,25000
29,Female,High School,Junior Sales Associate,1,25000
29,Female,High School,Junior Sales Associate,1,25000
29,Female,High School,Junior Sales Associate,1,25000
29,Female,High School,Junior Sales Associate,1,25000
29,Female,High School,Junior Sales Associate,1,25000
23,Male,High School,Junior Sales Associate,1,25000
24,Male,High School,Junior Sales Associate,1,25000
28,Female,High School,Junior Sales Associate,1,25000
24,Male,High School,Junior Sales Associate,1,25000
28,Female,High School,Junior Sales Associate,1,25000
24,Male,High School,Junior Sales Associate,1,25000
28,Female,High School,Junior Sales Associate,1,25000
24,Male,High School,Junior Sales Associate,1,25000
28,Female,High School,Junior Sales Associate,1,25000
24,Male,High School,Junior Sales Associate,1,25000
28,Female,High School,Junior Sales Associate,1,25000
24,Male,High School,Junior Sales Associate,1,25000
28,Female,High School,Junior Sales Associate,1,25000
24,Male,High School,Junior Sales Associate,1,25000
28,Female,High School,Junior Sales Associate,1,25000
24,Male,High School,Junior Sales Associate,1,25000
28,Female,High School,Junior Sales Associate,1,25000
33,Male,High School,Junior Sales Associate,1,25000
30,Female,High School,Junior Sales Associate,1,25000
31,Female,High School,Junior Sales Associate,1,25000
30,Female,High School,Junior Sales Associate,1,25000
31,Female,High School,Junior Sales Associate,1,25000
30,Female,High School,Junior Sales Associate,1,25000
31,Female,High School,Junior Sales Associate,1,25000
30,Female,High School,Junior Sales Associate,1,25000
31,Female,High School,Junior Sales Associate,1,25000
30,Female,High School,Junior Sales Associate,1,25000
31,Female,High School,Junior Sales Associate,1,25000
30,Female,High School,Junior Sales Associate,1,25000
31,Female,High School,Junior Sales Associate,1,25000
30,Female,High School,Junior Sales Associate,1,25000
31,Female,High School,Junior Sales Associate,1,25000
30,Female,High School,Junior Sales Associate,1,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
22,Female,High School,Sales Associate,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
21,Female,High School,Junior Sales Representative,0,25000
24,Female,High School,Sales Associate,0,25000
22,Female,High School,Receptionist,0,25000
24,Female,High School,Sales Associate,0,25000
22,Female,High School,Receptionist,0,25000
24,Female,High School,Sales Associate,0,25000
22,Female,High School,Receptionist,0,25000
24,Female,High School,Sales Associate,0,25000
22,Female,High School,Receptionist,0,25000
24,Female,High School,Sales Associate,0,25000
25,Female,High School,Sales Associate,0,25000
23,Female,High School,Receptionist,0,25000
25,Female,High School,Sales Associate,0,25000
23,Female,High School,Receptionist,0,25000
25,Female,High School,Sales Associate,0,25000
23,Female,High School,Receptionist,0,25000
25,Female,High School,Sales Associate,0,25000
23,Female,High School,Receptionist,0,25000
25,Female,High School,Sales Associate,0,25000
24,Female,High School,Sales Associate,0,25000
22,Female,High School,Receptionist,0,25000
24,Female,High School,Sales Associate,0,25000
22,Female,High School,Receptionist,0,25000
24,Female,High School,Sales Associate,0,25000
22,Female,High School,Receptionist,0,25000
24,Female,High School,Sales Associate,0,25000
22,Female,High School,Receptionist,0,25000
24,Female,High School,Sales Associate,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
24,Female,High School,Receptionist,0,25000
25,Male,High School,Junior Sales Associate,1,26000
23,Male,High School,Junior Sales Associate,1,26000
29,Female,High School,Junior Sales Associate,1,26000
23,Male,High School,Junior Sales Associate,1,26000
29,Female,High School,Junior Sales Associate,1,26000
23,Male,High School,Junior Sales Associate,1,26000
29,Female,High School,Junior Sales Associate,1,26000
23,Male,High School,Junior Sales Associate,1,26000
29,Female,High School,Junior Sales Associate,1,26000
23,Male,High School,Junior Sales Associate,1,26000
29,Female,High School,Junior Sales Associate,1,26000
23,Male,High School,Junior Sales Associate,1,26000
29,Female,High School,Junior Sales Associate,1,26000
23,Male,High School,Junior Sales Associate,1,26000
29,Female,High School,Junior Sales Associate,1,26000
23,Male,High School,Junior Sales Associate,1,26000
29,Female,High School,Junior Sales Associate,1,26000
24,Male,High School,Junior Sales Associate,1,26000
26,Male,High School,Junior Sales Associate,1,26000
30,Female,High School,Junior Sales Associate,1,26000
26,Male,High School,Junior Sales Associate,1,26000
30,Female,High School,Junior Sales Associate,1,26000
26,Male,High School,Junior Sales Associate,1,26000
30,Female,High School,Junior Sales Associate,1,26000
26,Male,High School,Junior Sales Associate,1,26000
30,Female,High School,Junior Sales Associate,1,26000
26,Male,High School,Junior Sales Associate,1,26000
30,Female,High School,Junior Sales Associate,1,26000
26,Male,High School,Junior Sales Associate,1,26000
30,Female,High School,Junior Sales Associate,1,26000
26,Male,High School,Junior Sales Associate,1,26000
30,Female,High School,Junior Sales Associate,1,26000
26,Male,High School,Junior Sales Associate,1,26000
30,Female,High School,Junior Sales Associate,1,26000
24,Male,High School,Delivery Driver,0,28000
24,Male,High School,Delivery Driver,0,28000
24,Male,High School,Delivery Driver,0,28000
24,Male,High School,Delivery Driver,0,28000
24,Male,High School,Delivery Driver,0,28000
25,Male,Bachelor's Degree,Sales Representative,0,30000
27,Female,High School,Junior HR Coordinator,1,30000
27,Female,High School,Junior HR Coordinator,1,30000
24,Male,High School,Junior Sales Associate,1,30000
29,Female,High School,Junior Sales Associate,1,30000
29,Female,High School,Junior Sales Associate,1,30000
29,Female,High School,Junior Sales Associate,1,30000
29,Female,High School,Junior Sales Associate,1,30000
29,Female,High School,Junior Sales Associate,1,30000
29,Female,High School,Junior Sales Associate,1,30000
29,Female,High School,Junior Sales Associate,1,30000
29,Female,High School,Junior Sales Associate,1,30000
23,Male,High School,Junior Sales Associate,1,30000
28,Female,High School,Junior Sales Associate,1,30000
28,Female,High School,Junior Sales Associate,1,30000
28,Female,High School,Junior Sales Associate,1,30000
28,Female,High School,Junior Sales Associate,1,30000
28,Female,High School,Junior Sales Associate,1,30000
28,Female,High School,Junior Sales Associate,1,30000
28,Female,High School,Junior Sales Associate,1,30000
28,Female,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,2,30000
26,Male,High School,Junior Sales Associate,2,30000
26,Male,High School,Junior Sales Associate,2,30000
26,Male,High School,Junior Sales Associate,2,30000
26,Male,High School,Junior Sales Associate,2,30000
26,Male,High School,Junior Sales Associate,2,30000
26,Male,High School,Junior Sales Associate,2,30000
26,Male,High School,Junior Sales Associate,2,30000
25,Male,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,1,30000
25,Male,High School,Junior Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
24,Female,High School,Sales Associate,1,30000
25,Female,High School,Customer Service Representative,1,30000
25,Female,High School,Customer Service Representative,1,30000
25,Female,High School,Customer Service Representative,1,30000
25,Female,High School,Customer Service Representative,1,30000
28,Male,Bachelor's Degree,Junior Sales Representative,1,30000
24,Male,PhD,Digital Marketing Manager,1,30000
26,Male,High School,Junior Sales Associate,2,31000
26,Male,High School,Junior Sales Associate,2,31000
26,Male,High School,Junior Sales Associate,2,31000
26,Male,High School,Junior Sales Associate,2,31000
26,Male,High School,Junior Sales Associate,2,31000
26,Male,High School,Junior Sales Associate,2,31000
26,Male,High School,Junior Sales Associate,2,31000
26,Male,High School,Junior Sales Associate,2,31000
26,Male,High School,Junior Sales Associate,2,31000
26,Male,High School,Junior Sales Associate,2,31000
26,Male,High School,Junior Sales Associate,2,31000
26,Male,High School,Junior Sales Associate,2,31000
24,Female,High School,Junior HR Generalist,1,32000
28,Male,High School,Junior HR Generalist,1,32000
30,Male,High School,Junior HR Generalist,1,32000
25,Female,Master's Degree,Junior HR Generalist,1,32000
27,Female,High School,Junior HR Generalist,1,32000
25,Female,Master's Degree,Junior HR Generalist,1,32000
27,Female,High School,Junior HR Generalist,1,32000
25,Female,Master's Degree,Junior HR Generalist,1,32000
27,Female,High School,Junior HR Generalist,1,32000
25,Female,Master's Degree,Junior HR Generalist,1,32000
27,Female,High School,Junior HR Generalist,1,32000
25,Female,Master's Degree,Junior HR Generalist,1,32000
24,Female,High School,Junior HR Generalist,1,32000
28,Male,High School,Junior HR Generalist,1,32000
30,Male,High School,Junior HR Generalist,1,32000
25,Female,Master's Degree,Junior HR Generalist,1,32000
27,Female,High School,Junior HR Generalist,1,32000
25,Female,Master's Degree,Junior HR Generalist,1,32000
27,Female,High School,Junior HR Generalist,1,32000
25,Female,Master's Degree,Junior HR Generalist,1,32000
27,Female,High School,Junior HR Generalist,1,32000
25,Female,Master's Degree,Junior HR Generalist,1,32000
27,Female,High School,Junior HR Generalist,1,32000
25,Female,Master's Degree,Junior HR Generalist,1,32000
23,Female,Bachelor's Degree,Junior HR Generalist,1,32000
25,Female,High School,Juniour HR Coordinator,1,32000
24,Female,High School,Juniour HR Coordinator,1,32000
26,Female,Bachelor's Degree,Junior HR Generalist,1,32000
23,Female,Bachelor's Degree,Junior HR Coordinator,1,32000
25,Female,High School,Junior HR Coordinator,1,32000
24,Female,High School,Juniour HR Coordinator,1,32000
26,Female,Bachelor's Degree,Junior HR Generalist,1,32000
23,Female,Bachelor's Degree,Junior HR Coordinator,1,32000
30,Male,High School,Junior HR Coordinator,2,33000
30,Male,High School,Junior HR Coordinator,2,33000
30,Male,High School,Junior HR Coordinator,2,33000
